q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.7797,-0.6253,-0.0098,0.0296,7.0313206,-77.4602,182.04535,183.19386,-0.0986,0.2348,51
0.7788,-0.6263,-0.0097,0.0309,6.9487295,-77.61259,182.22527,183.3973,-0.0957,0.2607,51
0.7781,-0.6271,-0.0097,0.0315,7.0120354,-77.73373,182.30615,183.48611,-0.0126,0.3334,51
0.7776,-0.6278,-0.0085,0.0315,7.112179,-77.82768,182.49066,183.62907,-0.0136,0.332,51
0.7764,-0.6293,-0.0063,0.0317,7.2330947,-78.03835,182.85707,183.92325,-0.0458,0.2998,51
0.7746,-0.6315,-0.0036,0.0321,7.3528686,-78.35023,183.33223,184.31244,-0.0903,0.2255,51
0.7727,-0.6338,-0.0012,0.0325,7.4031343,-78.67764,183.76736,184.67119,-0.1425,0.1728,51
0.771,-0.6359,-0.0001,0.0327,7.35641,-78.979866,183.98483,184.84496,-0.1728,0.1337,51
0.7696,-0.6376,-0.0006,0.0326,7.2438507,-79.235565,183.92358,184.77727,-0.143,0.1225,51
0.7688,-0.6385,-0.002,0.0325,7.0631104,-79.38208,183.71713,184.59413,-0.08,0.1176,51
0.7682,-0.6392,-0.0037,0.033,6.8531094,-79.49598,183.53638,184.46097,-0.0473,0.1303,51
0.7676,-0.6399,-0.0052,0.0341,6.6140714,-79.60712,183.45958,184.44107,-0.0395,0.1289,51
0.7669,-0.6406,-0.0062,0.0361,6.3251023,-79.72098,183.57028,184.61748,-0.0673,0.1035,51
0.766,-0.6415,-0.0073,0.0387,5.977718,-79.866455,183.74548,184.87148,-0.1132,0.0942,51
0.7651,-0.6424,-0.0089,0.0416,5.579129,-80.014366,183.88539,185.10728,-0.143,0.081,51
0.7644,-0.6431,-0.0114,0.0442,5.138684,-80.136215,183.85126,185.18356,-0.1313,0.0913,51
0.7639,-0.6434,-0.0148,0.0463,4.711634,-80.214165,183.61519,185.07027,-0.0874,0.1093,51
0.7636,-0.6435,-0.0185,0.0479,4.3712225,-80.26109,183.26765,184.84291,-0.0083,0.1391,51
0.7634,-0.6436,-0.0218,0.0489,4.140137,-80.29784,182.90346,184.57526,0.059,0.1694,51
0.763,-0.6439,-0.0243,0.0495,4.014021,-80.3626,182.61278,184.34784,0.083,0.186,51
0.7625,-0.6444,-0.0259,0.0498,3.9620457,-80.44852,182.4219,184.18796,0.0761,0.1811,51
0.7618,-0.6452,-0.0268,0.05,3.92169,-80.573074,182.32826,184.09999,0.0439,0.1713,51
0.7609,-0.6462,-0.0275,0.0504,3.8571777,-80.7294,182.29419,184.06602,-0.0122,0.145,51
0.76,-0.6472,-0.0283,0.0511,3.7617385,-80.88614,182.28357,184.06372,-0.0576,0.1235,51
